Date,Pool,Oil(BBLS),Gas(MCF),Water(BBLS),Days P/I,Well API
1996-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,22314,0,30,30-045-29202
1996-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,21939,0,31,30-045-29202
1997-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,20655,0,31,30-045-29202
1997-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,17011,0,28,30-045-29202
1997-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,18790,0,31,30-045-29202
1997-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,19108,0,30,30-045-29202
1997-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,19732,0,31,30-045-29202
1997-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,17704,0,30,30-045-29202
1997-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,19726,0,31,30-045-29202
1997-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,19368,0,31,30-045-29202
1997-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,18246,0,30,30-045-29202
1997-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,13944,0,31,30-045-29202
1997-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,14661,0,30,30-045-29202
1997-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,13774,0,31,30-045-29202
1998-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,17725,0,31,30-045-29202
1998-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,19321,85,28,30-045-29202
1998-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,18935,0,31,30-045-29202
1998-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,18433,0,30,30-045-29202
1998-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,19517,0,31,30-045-29202
1998-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,21680,240,30,30-045-29202
1998-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,23060,0,31,30-045-29202
1998-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,19538,0,31,30-045-29202
1998-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,20493,80,30,30-045-29202
1998-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,20882,160,31,30-045-29202
1998-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,20370,80,30,30-045-29202
1998-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,20392,0,31,30-045-29202
1999-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,19963,160,31,30-045-29202
1999-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,17819,80,28,30-045-29202
1999-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,19596,118,31,30-045-29202
1999-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,18430,54,30,30-045-29202
1999-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,17087,47,31,30-045-29202
1999-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,17654,129,30,30-045-29202
1999-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,17486,46,31,30-045-29202
1999-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,16747,51,31,30-045-29202
1999-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,16432,141,30,30-045-29202
1999-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,16775,34,31,30-045-29202
1999-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,15818,18,30,30-045-29202
1999-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,14213,342,31,30-045-29202
2000-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,14480,170,31,30-045-29202
2000-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,14407,50,29,30-045-29202
2000-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,14869,57,31,30-045-29202
2000-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,12996,58,30,30-045-29202
2000-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,13933,113,31,30-045-29202
2000-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,14113,55,30,30-045-29202
2000-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,13397,33,31,30-045-29202
2000-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,14672,34,31,30-045-29202
2000-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,14096,47,30,30-045-29202
2000-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,13207,48,31,30-045-29202
2000-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,13410,192,30,30-045-29202
2000-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,13163,63,31,30-045-29202
2001-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,12943,60,31,30-045-29202
2001-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,10542,41,28,30-045-29202
2001-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,12615,44,31,30-045-29202
2001-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,11996,40,30,30-045-29202
2001-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,11927,49,31,30-045-29202
2001-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,11731,50,30,30-045-29202
2001-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,11935,58,31,30-045-29202
2001-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,10576,56,31,30-045-29202
2001-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,9324,59,30,30-045-29202
2001-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,10026,56,31,30-045-29202
2001-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,10807,134,30,30-045-29202
2001-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,11324,41,31,30-045-29202
2002-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,11260,55,31,30-045-29202
2002-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,8939,54,28,30-045-29202
2002-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,11200,56,31,30-045-29202
2002-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,10615,54,30,30-045-29202
2002-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,10167,62,31,30-045-29202
2002-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,10601,54,30,30-045-29202
2002-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,10671,67,31,30-045-29202
2002-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,9893,72,31,30-045-29202
2002-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,9836,55,30,30-045-29202
2002-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,9690,66,31,30-045-29202
2002-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,9171,95,30,30-045-29202
2002-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,8979,42,31,30-045-29202
2003-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,9155,16,31,30-045-29202
2003-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,8107,72,28,30-045-29202
2003-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,8903,64,31,30-045-29202
2003-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,8654,59,30,30-045-29202
2003-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,8774,71,31,30-045-29202
2003-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,8594,41,30,30-045-29202
2003-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,8631,43,31,30-045-29202
2003-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,8946,15,31,30-045-29202
2003-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,8684,59,30,30-045-29202
2003-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,8816,43,31,30-045-29202
2003-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,8391,65,30,30-045-29202
2003-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,8973,77,31,30-045-29202
2004-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,8670,80,31,30-045-29202
2004-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,7775,70,29,30-045-29202
2004-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,7343,86,31,30-045-29202
2004-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,4360,62,30,30-045-29202
2004-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,4724,37,31,30-045-29202
2004-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2359,81,30,30-045-29202
2004-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,5861,21,31,30-045-29202
2004-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,4316,62,31,30-045-29202
2004-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3002,31,30,30-045-29202
2004-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,2467,39,27,30-045-29202
2004-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3657,44,30,30-045-29202
2004-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,6853,6,31,30-045-29202
2005-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,8386,61,31,30-045-29202
2005-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,7343,134,28,30-045-29202
2005-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,6794,365,31,30-045-29202
2005-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,7069,12,30,30-045-29202
2005-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,5679,12,31,30-045-29202
2005-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,4566,71,30,30-045-29202
2005-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,4090,50,31,30-045-29202
2005-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2818,27,24,30-045-29202
2005-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,5702,30,30,30-045-29202
2005-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,5135,10,31,30-045-29202
2005-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,4133,9,28,30-045-29202
2005-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,4139,9,28,30-045-29202
2006-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2660,178,31,30-045-29202
2006-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2799,5,28,30-045-29202
2006-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,3716,37,31,30-045-29202
2006-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3392,24,30,30-045-29202
2006-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3098,76,31,30-045-29202
2006-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,3078,5,30,30-045-29202
2006-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2865,25,31,30-045-29202
2006-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,3941,5,31,30-045-29202
2006-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3124,7,30,30-045-29202
2006-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3348,85,31,30-045-29202
2006-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2965,6,30,30-045-29202
2006-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3569,68,31,30-045-29202
2007-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,3648,6,31,30-045-29202
2007-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2528,44,28,30-045-29202
2007-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2851,44,31,30-045-29202
2007-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3036,41,30,30-045-29202
2007-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3096,30,31,30-045-29202
2007-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2815,57,30,30-045-29202
2007-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,3286,5,30,30-045-29202
2007-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,3196,35,31,30-045-29202
2007-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3113,5,30,30-045-29202
2007-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3123,30,31,30-045-29202
2007-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3006,30,30,30-045-29202
2007-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3119,46,31,30-045-29202
2008-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2967,5,31,30-045-29202
2008-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2746,29,29,30-045-29202
2008-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2570,5,31,30-045-29202
2008-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2856,29,30,30-045-29202
2008-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2712,5,31,30-045-29202
2008-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2776,5,30,30-045-29202
2008-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2823,27,31,30-045-29202
2008-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2775,5,31,30-045-29202
2008-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2637,21,30,30-045-29202
2008-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,2664,24,31,30-045-29202
2008-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2546,4,30,30-045-29202
2008-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2410,18,31,30-045-29202
2009-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,80,4,26,30-045-29202
2009-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2550,1,26,30-045-29202
2009-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,4387,4,31,30-045-29202
2009-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3508,6,30,30-045-29202
2009-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3282,6,31,30-045-29202
2009-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2597,4,30,30-045-29202
2009-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,3052,5,31,30-045-29202
2009-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2525,4,31,30-045-29202
2009-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2308,4,30,30-045-29202
2009-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,2787,5,31,30-045-29202
2009-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2254,4,30,30-045-29202
2009-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,1691,3,31,30-045-29202
2010-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,1192,2,31,30-045-29202
2010-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,3721,7,28,30-045-29202
2010-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2731,5,31,30-045-29202
2010-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2411,4,30,30-045-29202
2010-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2397,4,31,30-045-29202
2010-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2285,4,30,30-045-29202
2010-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2321,4,31,30-045-29202
2010-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2101,0,31,30-045-29202
2010-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3222,0,30,30-045-29202
2010-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3046,8,31,30-045-29202
2010-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2280,4,30,30-045-29202
2010-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3773,9,31,30-045-29202
2011-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,843,2,31,30-045-29202
2011-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,4416,53,28,30-045-29202
2011-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,3212,10,31,30-045-29202
2011-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2710,9,30,30-045-29202
2011-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3144,9,31,30-045-29202
2011-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,3112,7,30,30-045-29202
2011-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2849,7,31,30-045-29202
2011-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,3024,6,31,30-045-29202
2011-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2752,6,30,30-045-29202
2011-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,2556,7,31,30-045-29202
2011-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2878,8,30,30-045-29202
2011-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2847,6,31,30-045-29202
2012-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2745,45,31,30-045-29202
2012-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2371,6,23,30-045-29202
2012-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2553,7,31,30-045-29202
2012-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2625,6,30,30-045-29202
2012-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2895,9,31,30-045-29202
2012-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2680,8,30,30-045-29202
2012-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2822,11,31,30-045-29202
2012-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2688,6,31,30-045-29202
2012-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2943,7,30,30-045-29202
2012-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3684,10,31,30-045-29202
2012-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2729,8,30,30-045-29202
2012-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2471,7,31,30-045-29202
2013-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2986,5,31,30-045-29202
2013-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,1709,39,28,30-045-29202
2013-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2612,6,31,30-045-29202
2013-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2557,7,30,30-045-29202
2013-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2640,10,31,30-045-29202
2013-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2575,2,30,30-045-29202
2013-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2722,3,31,30-045-29202
2013-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2746,2,31,30-045-29202
2013-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2656,2,30,30-045-29202
2013-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,2617,1,31,30-045-29202
2013-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2098,1,30,30-045-29202
2013-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2286,25,31,30-045-29202
2014-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2313,4,31,30-045-29202
2014-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2616,0,28,30-045-29202
2014-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2824,7,31,30-045-29202
2014-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2620,5,30,30-045-29202
2014-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2723,5,31,30-045-29202
2014-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2654,5,30,30-045-29202
2014-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2637,6,31,30-045-29202
2014-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2081,4,31,30-045-29202
2014-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,1543,2,30,30-045-29202
2014-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3210,5,31,30-045-29202
2014-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2709,5,30,30-045-29202
2014-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2475,4,31,30-045-29202
2015-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2548,0,31,30-045-29202
2015-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,1846,0,28,30-045-29202
2015-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,1969,0,31,30-045-29202
2015-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2110,45,30,30-045-29202
2015-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,2273,0,31,30-045-29202
2015-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,1800,0,30,30-045-29202
2015-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,2602,0,31,30-045-29202
2015-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2191,20,31,30-045-29202
2015-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,2368,0,30,30-045-29202
2015-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3139,0,31,30-045-29202
2015-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,2884,0,30,30-045-29202
2015-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,2601,0,31,30-045-29202
2016-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,2484,0,31,30-045-29202
2016-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2253,0,29,30-045-29202
2016-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,2174,0,31,30-045-29202
2016-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,2008,0,30,30-045-29202
2016-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,264,0,31,30-045-29202
2016-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,3475,0,30,30-045-29202
2016-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,3795,0,31,30-045-29202
2016-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,1052,0,31,30-045-29202
2016-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3602,0,30,30-045-29202
2016-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3108,0,31,30-045-29202
2016-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3348,0,29,30-045-29202
2016-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3451,80,27,30-045-29202
2017-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,4085,80,31,30-045-29202
2017-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,3742,0,28,30-045-29202
2017-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,4044,0,31,30-045-29202
2017-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3719,82,30,30-045-29202
2017-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3423,379,31,30-045-29202
2017-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,3665,19,30,30-045-29202
2017-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,3563,16,31,30-045-29202
2017-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,2896,35,31,30-045-29202
2017-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3372,393,30,30-045-29202
2017-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3323,501,31,30-045-29202
2017-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3468,329,30,30-045-29202
2017-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3591,44,31,30-045-29202
2018-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,3474,528,31,30-045-29202
2018-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,3206,376,28,30-045-29202
2018-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,3541,358,31,30-045-29202
2018-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3349,349,30,30-045-29202
2018-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,3474,126,31,30-045-29202
2018-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,2717,127,30,30-045-29202
2018-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,3650,138,31,30-045-29202
2018-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,4175,137,31,30-045-29202
2018-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,3666,79,30,30-045-29202
2018-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,4014,34,31,30-045-29202
2018-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3592,171,30,30-045-29202
2018-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3548,50,31,30-045-29202
2019-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,3423,82,31,30-045-29202
2019-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,2833,0,28,30-045-29202
2019-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,3143,89,31,30-045-29202
2019-04-01,[71629] BASIN FRUITLAND COAL (GAS),0,3730,183,30,30-045-29202
2019-05-01,[71629] BASIN FRUITLAND COAL (GAS),0,4193,112,31,30-045-29202
2019-06-01,[71629] BASIN FRUITLAND COAL (GAS),0,4009,13,30,30-045-29202
2019-07-01,[71629] BASIN FRUITLAND COAL (GAS),0,4136,190,31,30-045-29202
2019-08-01,[71629] BASIN FRUITLAND COAL (GAS),0,4159,113,31,30-045-29202
2019-09-01,[71629] BASIN FRUITLAND COAL (GAS),0,4010,107,30,30-045-29202
2019-10-01,[71629] BASIN FRUITLAND COAL (GAS),0,3848,239,31,30-045-29202
2019-11-01,[71629] BASIN FRUITLAND COAL (GAS),0,3800,174,30,30-045-29202
2019-12-01,[71629] BASIN FRUITLAND COAL (GAS),0,3226,299,31,30-045-29202
2020-01-01,[71629] BASIN FRUITLAND COAL (GAS),0,3595,73,31,30-045-29202
2020-02-01,[71629] BASIN FRUITLAND COAL (GAS),0,3456,164,29,30-045-29202
2020-03-01,[71629] BASIN FRUITLAND COAL (GAS),0,3886,255,31,30-045-29202
